#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Thu Oct 09 17:21:02 2014

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       Papilio_DUO_LX9_map.ncd
#OUTPUT FILE:      Papilio_DUO_LX9_pad.csv
#PART TYPE:        xc6slx9
#SPEED GRADE:      -2
#PACKAGE:          tqg144
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P1,sram_addr<7>,IOB,IO_L83N_VREF_3,OUTPUT,LVTTL,3,12,FAST,,,,LOCATED,YES,NONE,
P2,sram_addr<6>,IOB,IO_L83P_3,OUTPUT,LVTTL,3,12,FAST,,,,LOCATED,YES,NONE,
P3,,,GND,,,,,,,,,,,,
P4,,,VCCO_3,,,3,,,,,3.30,,,,
P5,sram_addr<5>,IOB,IO_L52N_3,OUTPUT,LVTTL,3,12,FAST,,,,LOCATED,YES,NONE,
P6,sram_we,IOB,IO_L52P_3,OUTPUT,LVTTL,3,12,FAST,,,,LOCATED,YES,NONE,
P7,sram_addr<0>,IOB,IO_L51N_3,OUTPUT,LVTTL,3,12,FAST,,,,LOCATED,YES,NONE,
P8,sram_addr<1>,IOB,IO_L51P_3,OUTPUT,LVTTL,3,12,FAST,,,,LOCATED,YES,NONE,
P9,sram_addr<2>,IOB,IO_L50N_3,OUTPUT,LVTTL,3,12,FAST,,,,LOCATED,YES,NONE,
P10,sram_addr<3>,IOB,IO_L50P_3,OUTPUT,LVTTL,3,12,FAST,,,,LOCATED,YES,NONE,
P11,sram_addr<4>,IOB,IO_L49N_3,OUTPUT,LVTTL,3,12,FAST,,,,LOCATED,YES,NONE,
P12,sram_ce,IOB,IO_L49P_3,OUTPUT,LVTTL,3,12,FAST,,,,LOCATED,YES,NONE,
P13,,,GND,,,,,,,,,,,,
P14,sram_data<0>,IOB,IO_L44N_GCLK20_3,BIDIR,LVTTL,3,12,FAST,,NONE,,LOCATED,YES,NONE,
P15,sram_data<1>,IOB,IO_L44P_GCLK21_3,BIDIR,LVTTL,3,12,FAST,,NONE,,LOCATED,YES,NONE,
P16,sram_data<2>,IOB,IO_L43N_GCLK22_IRDY2_3,BIDIR,LVTTL,3,12,FAST,,NONE,,LOCATED,YES,NONE,
P17,sram_data<3>,IOB,IO_L43P_GCLK23_3,BIDIR,LVTTL,3,12,FAST,,NONE,,LOCATED,YES,NONE,
P18,,,VCCO_3,,,3,,,,,3.30,,,,
P19,,,VCCINT,,,,,,,,1.2,,,,
P20,,,VCCAUX,,,,,,,,2.5,,,,
P21,sram_data<4>,IOB,IO_L42N_GCLK24_3,BIDIR,LVTTL,3,12,FAST,,NONE,,LOCATED,YES,NONE,
P22,sram_data<5>,IOB,IO_L42P_GCLK25_TRDY2_3,BIDIR,LVTTL,3,12,FAST,,NONE,,LOCATED,YES,NONE,
P23,sram_data<6>,IOB,IO_L41N_GCLK26_3,BIDIR,LVTTL,3,12,FAST,,NONE,,LOCATED,YES,NONE,
P24,sram_data<7>,IOB,IO_L41P_GCLK27_3,BIDIR,LVTTL,3,12,FAST,,NONE,,LOCATED,YES,NONE,
P25,,,GND,,,,,,,,,,,,
P26,sram_oe,IOB,IO_L37N_3,OUTPUT,LVTTL,3,12,FAST,,,,LOCATED,YES,NONE,
P27,sram_addr<15>,IOB,IO_L37P_3,OUTPUT,LVTTL,3,12,FAST,,,,LOCATED,YES,NONE,
P28,,,VCCINT,,,,,,,,1.2,,,,
P29,sram_addr<16>,IOB,IO_L36N_3,OUTPUT,LVTTL,3,12,FAST,,,,LOCATED,YES,NONE,
P30,,IOBM,IO_L36P_3,UNUSED,,3,,,,,,,,,
P31,,,VCCO_3,,,3,,,,,3.30,,,,
P32,sram_addr<18>,IOB,IO_L2N_3,OUTPUT,LVTTL,3,12,FAST,,,,LOCATED,YES,NONE,
P33,sram_addr<17>,IOB,IO_L2P_3,OUTPUT,LVTTL,3,12,FAST,,,,LOCATED,YES,NONE,
P34,sram_addr<14>,IOB,IO_L1N_VREF_3,OUTPUT,LVTTL,3,12,FAST,,,,LOCATED,YES,NONE,
P35,sram_addr<13>,IOB,IO_L1P_3,OUTPUT,LVTTL,3,12,FAST,,,,LOCATED,YES,NONE,
P36,,,VCCAUX,,,,,,,,2.5,,,,
P37,,,PROGRAM_B_2,,,,,,,,,,,,
P38,SPI_CS,IOB,IO_L65N_CSO_B_2,OUTPUT,LVTTL,2,8,FAST,,,,LOCATED,NO,NONE,
P39,Arduino_53,IOB,IO_L65P_INIT_B_2,BIDIR,LVTTL,2,12,SLOW,,NONE,,LOCATED,NO,NONE,
P40,sram_addr<12>,IOB,IO_L64N_D9_2,OUTPUT,LVTTL,2,12,FAST,,,,LOCATED,YES,NONE,
P41,sram_addr<11>,IOB,IO_L64P_D8_2,OUTPUT,LVTTL,2,12,FAST,,,,LOCATED,YES,NONE,
P42,,,VCCO_2,,,2,,,,,3.30,,,,
P43,sram_addr<10>,IOB,IO_L62N_D6_2,OUTPUT,LVTTL,2,12,FAST,,,,LOCATED,YES,NONE,
P44,,IOBM,IO_L62P_D5_2,UNUSED,,2,,,,,,,,,
P45,,IOBS,IO_L49N_D4_2,UNUSED,,2,,,,,,,,,
